Country ;Happiness;Alcohol;Median Age;Precipitation;Unemployment;Coffee;Pop density;Healthcare spending;GDP per capita;Facebook;Population;BMI-women;BMI-men;;
Albania;5,199;6,82;36,4;1485;11,8190002;2,13;105;5,23207188;5287,66369;1571000;2837849;25,7;26,4;;
Algeria;5,122;0,63;28,5;89;12,7040005;3,18;18,4;6,16302586;4142,01856;25140000;43851043;26,4;24,6;;
Argentina;5,967;9,45;31,5;591;10,9020004;0,84;16,5;9,66646481;11795,1594;30000000;45376763;27,5;27,6;;
Armenia;5,399;4,67;35,4;562;20,8969994;3,29;104;10,005434;4220,54032;1863000;2963234;27,1;22,3;;
Australia;7,162;10,36;37,9;534;5,11199999;4,73;3,32;9,1550045;57180,7794;17680000;25693267;26,9;25,8;;
Austria;7,163;11,93;43,5;1110;6,30100012;7,33;109;10,3175068;51486,5755;5030000;8916864;25,1;27,5;;
Azerbaijan*;5,173;0,98;32,3;447;6,58300018;0,13;123;3,55621028;4739,84171;4327000;10093121;27,5;25,4;;
Bangladesh;5,155;0;27,6;2666;5,22900009;0,01;1270;2,50803041;1698,13208;48800000;164689383;20,6;25,6;;
Belarus*;5,821;10,96;40,3;618;4,73600006;0,98;46,6;5,52699471;6360,06247;3850000;9379952;26,6;27,8;;
Belgium;6,805;10,8;41,9;847;6,42000008;4,73;383;10,7646999;47542,7695;6500000;11544241;25,1;20,4;;
Benin;4,623;2,23;18,8;1039;1,574;0,05;108;2,50416446;1241,8253;1538500;12123198;23,7;26,2;;
Bolivia;5,6;3,91;25,6;1146;8,50899982;2,02;10,8;6,64209032;3548,59078;6100000;11673029;26,9;22,4;;
Botswana*;3,471;6,61;24;416;24,7220001;0,72;4,15;5,96867228;7503,87859;1139000;2351625;26,1;22,8;;
Brazil;6,293;7,32;33,5;1761;14,4029999;5,04;25,4;9,46475124;9151,38173;139000000;212559409;26;24,4;;
Burkina Faso;4,67;11,05;17,6;748;4,7579999;0,3;76,4;4,90988731;804,500538;1998200;20903278;21,6;27,3;;
Cambodia;4,64;7,84;25,6;1904;0,61199999;0,25;94,7;6,18275642;1512,12699;12444000;16718971;21,7;26,5;;
Cameroon;5,048;5,52;18,7;1604;3,86500001;0,13;56,2;3,46510625;1585,24053;4267000;26545864;24,9;21,3;;
Canada;7,025;8,81;41,1;537;7,51000023;7,03;4,15;10,8063746;46548,6384;23000000;38037204;26,7;21,5;;
Chile;6,172;8,95;35,3;1522;9,12800026;0,66;25,7;9,15850449;15888,1444;13000000;19116209;27,9;23,5;;
China;5,585;6,04;38,4;645;4,81699991;0,05;153;5,16790485;9905,342;3859500;1410929362;22,9;21;;
Colombia;5,781;5,45;31,3;3240;14,3360004;2,06;45,9;7,62541389;6729,58333;29000000;50882884;26,2;21,5;;
Comoros*;4,609;1,15;20,4;900;9,44699955;0,17;467;4,90244007;1428,29046;193700;869595;22,4;27;;
Costa Rica;6,582;4,07;33,5;2926;17,9540005;5,53;99,8;7,29572248;12485,4239;3200000;5094114;27;19,9;;
Croatia;6,125;8,73;44,3;1113;8,68299961;4,95;73,4;6,78430557;15227,5601;2077000;4047680;25,2;32,7;;
Cyprus;6,221;10,8;37,3;498;6,13000011;2,9;131;6,77018547;29334,1109;989000;1207361;25,9;22,6;;
Denmark;7,636;10,13;42,3;703;4,79799986;7,08;137;10,0707159;61591,9289;4070000;5831404;25,1;25,1;;
Dominican Republic;5,737;6,68;28;1410;8,49600029;2,51;225;5,73288918;8050,64408;5100000;10847904;26,9;26,1;;
Ecuador;5,533;3,27;27,9;2274;6,42700005;0,14;71;7,86490965;6295,93466;10000000;17643060;27,1;23,4;;
Egypt;4,288;0,14;24,6;18,1;9,32900047;0,3;103;4,947577;2537,12519;48830000;102334403;30,1;24,6;;
El Salvador;6,12;4,09;27,6;1784;5,94000006;2,96;313;7,09307051;4052,62478;3400000;6486201;27,8;25,2;;
Estonia;6,341;10,75;42,4;626;6,33099985;4,06;31,3;6,68642807;23063,5638;752000;1329479;25,2;26,4;;
Ethiopia;4,241;2,2;19,5;848;3,69400001;2,29;115;3,30818701;771,524866;6745000;114963583;20,7;20,9;;
Finland;7,821;10,65;43,1;536;7,5250001;11,71;18,2;9,03608513;49988,9108;3206000;5529543;25,6;23,2;;
France;6,687;12,23;42,3;867;8,06299973;5,11;119;11,1858301;41592,7959;38540000;67379908;24,8;20,3;;
Gabon;4,958;8,08;22,5;1831;22,2649994;0,16;8,64;2,74500299;7959,00727;830000;2225728;25,9;26,7;;
Gambia*;5,164;3,36;17,8;836;11,2119999;0,11;239;4,8878727;732,720727;419100;2416664;24,8;25,9;;
Georgia;4,973;9,47;38,3;1026;10,6590004;2,31;57,4;7,11329746;4722,78778;3222000;3722716;26,4;30,9;;
Germany;7,034;12,79;45,7;700;3,53500009;6,21;240;11,4503889;47973,6076;37430000;83160871;25,7;24,1;;
Ghana;4,872;2,78;21,5;1187;4,704;0,01;137;3,48865867;2260,86057;7944000;31072945;24,3;21,6;;
Greece;5,948;10,5;45,6;652;14,7950001;3,8;80,9;7,95876884;19756,9905;6070000;10700556;24,9;25,6;;
Guatemala*;6,262;1,63;22,9;1996;3,57200003;1,78;167;6,12415409;4478,42465;6800000;16858333;26,8;26,3;;
Guinea;4,891;1,09;18;1651;6,34200001;1,65;53,4;3,63913226;955,111281;1938000;13132792;22,4;26;;
Honduras;6,022;3,93;24,3;1976;8,51299953;4,04;88,5;7,21891975;2492,86897;3400000;9904608;26,7;21,6;;
Hungary;6,086;11,07;43,3;589;4,11600018;1,39;107;6,54620171;16427,3728;6084000;9750149;26;23,7;;
Iceland;7,557;9,21;37,5;1940;5,40100002;8,63;3,4;8,44292068;74469,8041;250000;366463;26;25,1;;
India;3,777;5,61;28,4;1083;5,97800016;0,001494;464;2,95175385;1996,91509;416600000;1380004385;21,3;25,1;;
Indonesia;5,24;0,22;29,7;2702;4,41300011;0,17;151;2,86757827;3893,85958;176500000;273523621;23;27,1;;
Iran;4,888;1,01;32;228;11,4610004;0,17;51,6;8,4627676;3598,48345;40000000;83992953;27,2;27,2;;
Iraq;4,941;0,37;21;216;14,1920004;0,21;92,6;4,24407291;5915,85085;25520000;40222503;28,4;21;;
Ireland;7,041;12,75;38,2;1118;6,6329999;1,92;71,7;6,86017275;79107,605;3210000;4985674;26,6;21,9;;
Israel;7,364;4,38;30,5;435;5,04500008;4,51;400;7,53235054;42063,4531;6200000;9215100;27,3;25,3;;
Italy;6,467;8,01;47,3;832;9,83399963;5,45;206;8,67509365;34622,1697;34940000;59449527;24,8;26,7;;
Jamaica;5,85;4,16;30,7;2051;9,18200016;2,28;273;5,96785641;5359,99379;1100000;2961161;27,2;27,6;;
Japan;6,039;10,09;48,4;1668;2,79900002;3,5;347;10,7483883;39808,1686;55840000;125836021;21,9;27,1;;
Jordan;4,152;0,52;23,8;111;19,2520008;3,01;115;7,78079128;4308,15107;6386000;10203140;29,2;26,5;;
Kazakhstan;6,234;5;30,7;250;4,9000001;0,39;6,96;2,8178606;9812,62637;11825000;18754440;26,6;24;;
Kenya;4,543;2,15;20,1;630;5,7420001;0,04;94,5;4,30564117;1794,09118;10444000;53771300;23,1;23,5;;
Kuwait*;6,106;0;36,8;121;3,71399999;2,03;240;5,09953451;33399,0604;4227000;4270563;31,2;26,3;;
Laos;5,14;12,08;24,4;1834;1,25800002;17,21;31,5;2,24630332;2569,09389;3821000;7275556;22;29,2;;
Latvia;6,18;13,19;43,9;667;7,5999999;3,25;30,3;6,19103575;17865,0311;740000;1900449;25,6;29,2;;
Lebanon;2,955;1,53;29,6;661;14,4879999;3,81;667;8,67463875;8058,44434;4160000;6825442;27,7;24,8;;
Lesotho*;3,512;5,08;24;788;24,5979996;0,65;70,6;10,9012518;1192,48432;490900;2142252;26,8;21,1;;
Liberia*;5,122;5,37;19,4;2391;4,09499979;0,04;52,5;9,03880787;710,265998;658200;5057677;23,2;26,5;;
Lithuania;6,446;12,78;45,1;656;7,90299988;4,28;43,4;6,53385353;19186,1813;1400000;2794885;26;21,9;;
Luxembourg*;7,404;12,45;39,7;934;5,22700024;24,79;242;5,28587103;117254,74;369100;630419;26,1;21,9;;
Madagascar*;4,339;1,98;19,6;1513;2,5940001;2,15;47,6;4,19787312;523,945971;2864000;27691019;20,7;26,9;;
Malawi;3,75;4,08;18,1;1181;7,02099991;0,44;203;9,82898998;544,593435;637600;19129955;22,9;27,4;;
Malaysia;5,711;0,93;30,3;2875;4,60900021;0,02;98,5;3,74833083;11380,0821;28490000;32365998;25,4;25,7;;
Mali;4,479;1,31;16,3;282;7,71999979;0,04;16,6;3,73249865;894,804777;2033300;20250834;23,1;22;;
Malta;6,447;8,27;42,6;560;3,49900007;2,52;1380;8,81080437;30672,2922;389500;515332;27,1;24,7;;
Mauritania*;4,153;0;20,1;92;11,4630003;0,01;4,51;3,57909012;1670,20416;927300;4649660;26,3;21,8;;
Mauritius;6,071;4,78;37,5;2041;7,41400003;0,49;626;5,86705875;11208,3438;919000;1265740;26,1;27,7;;
Mexico;6,128;5,05;29,2;758;4,37900019;0,61;66,3;5,37870932;9686,98493;78000000;128932753;28,7;29,4;;
Moldova;5,857;12,85;37,6;450;3,96199989;0,57;123;6,58753443;4230,36304;800000;2620495;27,1;25,2;;
Mongolia;5,761;5,9;28,2;241;7,08199978;0,65;2,11;3,85443377;4156,84697;2740000;3278292;25,7;27,4;;
