Country ;happiness;freedom;age_exp;corruption;alcohol;precipitation;unemployment;coffee;pop_density;health_spend;gdp;facebook;pop;bmi_women;bmi_men;gdp1000;facebook_share
Albania;5,2;3;78,5;38;6,82;1485;11,82;2,13;105;5,23;5287,66;1571000;2837849;25,7;26,4;5,29;0,553588
Algeria;5,12;5,5;76,2;33;0,63;89;12,7;3,18;18,4;6,16;4142,02;25140000;43851043;26,4;24,6;4,14;0,573304
Argentina;5,97;2;76,6;39;9,45;591;10,9;0,84;16,5;9,67;11795,16;30000000;45376763;27,5;27,6;11,8;0,661131
Armenia;5,4;4;75,7;35;4,67;562;20,9;3,29;104;10,01;4220,54;1863000;2963234;27,1;22,3;4,22;0,628705
Australia;7,16;1;82,9;77;10,36;534;5,11;4,73;3,32;9,16;57180,78;17680000;25693267;26,9;25,8;57,18;0,688118
Austria;7,16;1;82,2;75;11,93;1110;6,3;7,33;109;10,32;51486,58;5030000;8916864;25,1;27,5;51,49;0,5641
Azerbaijan*;5,17;6,5;71;31;0,98;447;6,58;0,13;123;3,56;4739,84;4327000;10093121;27,5;25,4;4,74;0,428708
Bangladesh;5,16;5;74,5;28;0;2666;5,23;0,01;1270;2,51;1698,13;48800000;164689383;20,6;25,6;1,7;0,296315
Belarus*;5,82;6,5;74;44;10,96;618;4,74;0,98;46,6;5,53;6360,06;3850000;9379952;26,6;27,8;6,36;0,41045
Belgium;6,81;1;81,4;75;10,8;847;6,42;4,73;383;10,76;47542,77;6500000;11544241;25,1;20,4;47,54;0,563051
Benin;4,62;3;64,5;39;2,23;1039;1,57;0,05;108;2,5;1241,83;1538500;12123198;23,7;26,2;1,24;0,126905
Bolivia;5,6;3;72;33;3,91;1146;8,51;2,02;10,8;6,64;3548,59;6100000;11673029;26,9;22,4;3,55;0,522572
Botswana*;3,47;2,5;62,3;61;6,61;416;24,72;0,72;4,15;5,97;7503,88;1139000;2351625;26,1;22,8;7,5;0,484346
Brazil;6,29;2,5;75,8;37;7,32;1761;14,4;5,04;25,4;9,46;9151,38;139000000;212559409;26;24,4;9,15;0,653935
Burkina Faso;4,67;4;61,7;42;11,05;748;4,76;0,3;76,4;4,91;804,5;1998200;20903278;21,6;27,3;0,8;0,095593
Cambodia;4,64;6;69,9;21;7,84;1904;0,61;0,25;94,7;6,18;1512,13;12444000;16718971;21,7;26,5;1,51;0,744304
Cameroon;5,05;6;63,4;25;5,52;1604;3,87;0,13;56,2;3,47;1585,24;4267000;26545864;24,9;21,3;1,59;0,160741
Canada;7,03;1;82,2;82;8,81;537;7,51;7,03;4,15;10,81;46548,64;23000000;38037204;26,7;21,5;46,55;0,604671
Chile;6,17;1;80,2;67;8,95;1522;9,13;0,66;25,7;9,16;15888,14;13000000;19116209;27,9;23,5;15,89;0,680051
China;5,59;6,5;77,6;41;6,04;645;4,82;0,05;153;5,17;9905,34;3859500;1410929362;22,9;21;9,91;0,002735
Colombia;5,78;3;80,2;37;5,45;3240;14,34;2,06;45,9;7,63;6729,58;29000000;50882884;26,2;21,5;6,73;0,569936
Comoros*;4,61;4,5;68,7;27;1,15;900;9,45;0,17;467;4,9;1428,29;193700;869595;22,4;27;1,43;0,222747
Costa Rica;6,58;1;80,1;59;4,07;2926;17,95;5,53;99,8;7,3;12485,42;3200000;5094114;27;19,9;12,49;0,628176
Croatia;6,13;1,5;78,7;49;8,73;1113;8,68;4,95;73,4;6,78;15227,56;2077000;4047680;25,2;32,7;15,23;0,513133
Cyprus;6,22;1;80,8;57;10,8;498;6,13;2,9;131;6,77;29334,11;989000;1207361;25,9;22,6;29,33;0,819142
Denmark;7,64;1;81,1;88;10,13;703;4,8;7,08;137;10,07;61591,93;4070000;5831404;25,1;25,1;61,59;0,697945
Dominican Republic;5,74;3;73,2;29;6,68;1410;8,5;2,51;225;5,73;8050,64;5100000;10847904;26,9;26,1;8,05;0,470137
Ecuador;5,53;3;76,4;32;3,27;2274;6,43;0,14;71;7,86;6295,93;10000000;17643060;27,1;23,4;6,3;0,566795
Egypt;4,29;6;71;32;0,14;18,1;9,33;0,3;103;4,95;2537,13;48830000;102334403;30,1;24,6;2,54;0,477161
El Salvador;6,12;3;75,7;33;4,09;1784;5,94;2,96;313;7,09;4052,62;3400000;6486201;27,8;25,2;4,05;0,52419
Estonia;6,34;1;78;71;10,75;626;6,33;4,06;31,3;6,69;23063,56;752000;1329479;25,2;26,4;23,06;0,565635
Ethiopia;4,24;6;68,8;35;2,2;848;3,69;2,29;115;3,31;771,52;6745000;114963583;20,7;20,9;0,77;0,058671
Finland;7,82;1;81,9;88;10,65;536;7,53;11,71;18,2;9,04;49988,91;3206000;5529543;25,6;23,2;49,99;0,579795
France;6,69;1,5;82,9;70;12,23;867;8,06;5,11;119;11,19;41592,8;38540000;67379908;24,8;20,3;41,59;0,571981
Gabon;4,96;6;67,8;32;8,08;1831;22,26;0,16;8,64;2,75;7959,01;830000;2225728;25,9;26,7;7,96;0,372912
Gambia*;5,16;4;66,7;30;3,36;836;11,21;0,11;239;4,89;732,72;419100;2416664;24,8;25,9;0,73;0,173421
Georgia;4,97;3,5;73,4;56;9,47;1026;10,66;2,31;57,4;7,11;4722,79;3222000;3722716;26,4;30,9;4,72;0,865497
Germany;7,03;1;81,2;81;12,79;700;3,54;6,21;240;11,45;47973,61;37430000;83160871;25,7;24,1;47,97;0,450091
Ghana;4,87;2;66,3;40;2,78;1187;4,7;0,01;137;3,49;2260,86;7944000;31072945;24,3;21,6;2,26;0,255656
Greece;5,95;1,5;80,9;48;10,5;652;14,8;3,8;80,9;7,96;19756,99;6070000;10700556;24,9;25,6;19,76;0,56726
