Country ;happiness;alcohol;med_age;precipitation;unemployment;coffee;pop_density;health_spend;gdp;facebook;pop;bmi_women;bmi_men;gdp1000;facebook_share
Albania;5,20;6,82;36,40;1485,00;11,82;2,13;105,00;5,23;5287,66;1571000,00;2837849,00;25,70;26,40;5,29;0,553588
Algeria;5,12;0,63;28,50;89,00;12,70;3,18;18,40;6,16;4142,02;25140000,00;43851043,00;26,40;24,60;4,14;0,573304
Argentina;5,97;9,45;31,50;591,00;10,90;0,84;16,50;9,67;11795,16;30000000,00;45376763,00;27,50;27,60;11,80;0,661131
Armenia;5,40;4,67;35,40;562,00;20,90;3,29;104,00;10,01;4220,54;1863000,00;2963234,00;27,10;22,30;4,22;0,628705
Australia;7,16;10,36;37,90;534,00;5,11;4,73;3,32;9,16;57180,78;17680000,00;25693267,00;26,90;25,80;57,18;0,688118
Austria;7,16;11,93;43,50;1110,00;6,30;7,33;109,00;10,32;51486,58;5030000,00;8916864,00;25,10;27,50;51,49;0,564100
Azerbaijan*;5,17;0,98;32,30;447,00;6,58;0,13;123,00;3,56;4739,84;4327000,00;10093121,00;27,50;25,40;4,74;0,428708
Bangladesh;5,16;0,00;27,60;2666,00;5,23;0,01;1270,00;2,51;1698,13;48800000,00;164689383,00;20,60;25,60;1,70;0,296315
Belarus*;5,82;10,96;40,30;618,00;4,74;0,98;46,60;5,53;6360,06;3850000,00;9379952,00;26,60;27,80;6,36;0,410450
Belgium;6,81;10,80;41,90;847,00;6,42;4,73;383,00;10,76;47542,77;6500000,00;11544241,00;25,10;20,40;47,54;0,563051
Benin;4,62;2,23;18,80;1039,00;1,57;0,05;108,00;2,50;1241,83;1538500,00;12123198,00;23,70;26,20;1,24;0,126905
Bolivia;5,60;3,91;25,60;1146,00;8,51;2,02;10,80;6,64;3548,59;6100000,00;11673029,00;26,90;22,40;3,55;0,522572
Botswana*;3,47;6,61;24,00;416,00;24,72;0,72;4,15;5,97;7503,88;1139000,00;2351625,00;26,10;22,80;7,50;0,484346
Brazil;6,29;7,32;33,50;1761,00;14,40;5,04;25,40;9,46;9151,38;139000000,00;212559409,00;26,00;24,40;9,15;0,653935
Burkina Faso;4,67;11,05;17,60;748,00;4,76;0,30;76,40;4,91;804,50;1998200,00;20903278,00;21,60;27,30;0,80;0,095593
Cambodia;4,64;7,84;25,60;1904,00;0,61;0,25;94,70;6,18;1512,13;12444000,00;16718971,00;21,70;26,50;1,51;0,744304
Cameroon;5,05;5,52;18,70;1604,00;3,87;0,13;56,20;3,47;1585,24;4267000,00;26545864,00;24,90;21,30;1,59;0,160741
Canada;7,03;8,81;41,10;537,00;7,51;7,03;4,15;10,81;46548,64;23000000,00;38037204,00;26,70;21,50;46,55;0,604671
Chile;6,17;8,95;35,30;1522,00;9,13;0,66;25,70;9,16;15888,14;13000000,00;19116209,00;27,90;23,50;15,89;0,680051
China;5,59;6,04;38,40;645,00;4,82;0,05;153,00;5,17;9905,34;3859500,00;1410929362,00;22,90;21,00;9,91;0,002735
Colombia;5,78;5,45;31,30;3240,00;14,34;2,06;45,90;7,63;6729,58;29000000,00;50882884,00;26,20;21,50;6,73;0,569936
Comoros*;4,61;1,15;20,40;900,00;9,45;0,17;467,00;4,90;1428,29;193700,00;869595,00;22,40;27,00;1,43;0,222747
Costa Rica;6,58;4,07;33,50;2926,00;17,95;5,53;99,80;7,30;12485,42;3200000,00;5094114,00;27,00;19,90;12,49;0,628176
Croatia;6,13;8,73;44,30;1113,00;8,68;4,95;73,40;6,78;15227,56;2077000,00;4047680,00;25,20;32,70;15,23;0,513133
Cyprus;6,22;10,80;37,30;498,00;6,13;2,90;131,00;6,77;29334,11;989000,00;1207361,00;25,90;22,60;29,33;0,819142
Denmark;7,64;10,13;42,30;703,00;4,80;7,08;137,00;10,07;61591,93;4070000,00;5831404,00;25,10;25,10;61,59;0,697945
Dominican Republic;5,74;6,68;28,00;1410,00;8,50;2,51;225,00;5,73;8050,64;5100000,00;10847904,00;26,90;26,10;8,05;0,470137
Ecuador;5,53;3,27;27,90;2274,00;6,43;0,14;71,00;7,86;6295,93;10000000,00;17643060,00;27,10;23,40;6,30;0,566795
